"method","cr","len","alpha"
"CF",0.1716,0.230143256408003,0.05
"xlearner",0.2594,0.346589583205781,0.05
"bart_naive",0.9974,3.34642887735352,0.05
"bart_inexact",0.8572,1.52145638109185,0.05
"CQR_inexact_quantRF",0.9438,1.97652833890393,0.05
"CQR_exact_quantRF",1,5.09005488261907,0.05
"CQR_naive_quantRF",0.9998,4.39265684745226,0.05
"CQR_inexact_quantBoosting",0.948,2.02577528897909,0.05
"CQR_exact_quantBoosting",0.9998,4.32958153351641,0.05
"CQR_naive_quantBoosting",0.9998,4.19844645298272,0.05
"CQR_inexact_quantBART",0.9602,2.08751095332167,0.05
"CQR_exact_quantBART",0.9992,3.63514901034943,0.05
"CQR_naive_quantBART",0.9986,3.64186383752872,0.05
"CF",0.166,0.207367593264174,0.05
"xlearner",0.2524,0.308754500091081,0.05
"bart_naive",0.9974,3.16883097308604,0.05
"bart_inexact",0.8248,1.36893132066109,0.05
"CQR_inexact_quantRF",0.9654,2.18305144278042,0.05
"CQR_exact_quantRF",1,4.45967144509578,0.05
"CQR_naive_quantRF",0.9998,4.24798390806272,0.05
"CQR_inexact_quantBoosting",0.9652,2.19212436852467,0.05
"CQR_exact_quantBoosting",1,4.26614402297225,0.05
"CQR_naive_quantBoosting",0.9936,3.05996501613705,0.05
"CQR_inexact_quantBART",0.9744,2.29086866949175,0.05
"CQR_exact_quantBART",0.9992,3.68673402217813,0.05
"CQR_naive_quantBART",0.9944,2.97825119763426,0.05
"CF",0.1474,0.186602343502895,0.05
"xlearner",0.2402,0.312683494547292,0.05
"bart_naive",0.997,3.22107953108373,0.05
"bart_inexact",0.825,1.42836958726607,0.05
"CQR_inexact_quantRF",0.9486,2.03625103885905,0.05
"CQR_exact_quantRF",1,4.72107055868808,0.05
"CQR_naive_quantRF",0.9998,4.09920847797305,0.05
"CQR_inexact_quantBoosting",0.9678,2.22937152914952,0.05
"CQR_exact_quantBoosting",0.9998,3.97238219012262,0.05
"CQR_naive_quantBoosting",0.9994,3.64889004485275,0.05
"CQR_inexact_quantBART",0.9656,2.25535351470697,0.05
"CQR_exact_quantBART",0.9994,3.45677041173512,0.05
"CQR_naive_quantBART",0.9998,3.85899599365382,0.05
"CF",0.1604,0.213224555208495,0.05
"xlearner",0.2262,0.302912575522758,0.05
"bart_naive",0.9974,3.25461016465624,0.05
"bart_inexact",0.8772,1.61686857950196,0.05
"CQR_inexact_quantRF",0.9552,2.16692453415938,0.05
"CQR_exact_quantRF",1,4.24762818661264,0.05
"CQR_naive_quantRF",0.9998,4.0980659151579,0.05
"CQR_inexact_quantBoosting",0.9702,2.38082001715131,0.05
"CQR_exact_quantBoosting",1,4.19783157062152,0.05
"CQR_naive_quantBoosting",1,4.52981625271638,0.05
"CQR_inexact_quantBART",0.956,2.13326517600505,0.05
"CQR_exact_quantBART",1,4.56532537843349,0.05
"CQR_naive_quantBART",0.9978,3.469404520822,0.05
"CF",0.1668,0.212151776435856,0.05
"xlearner",0.2484,0.328293615733339,0.05
"bart_naive",0.9966,3.17705986568697,0.05
"bart_inexact",0.8248,1.4444129946434,0.05
"CQR_inexact_quantRF",0.9612,2.26633561778659,0.05
"CQR_exact_quantRF",1,4.14602890130475,0.05
"CQR_naive_quantRF",1,4.09565405697901,0.05
"CQR_inexact_quantBoosting",0.9666,2.33803050056076,0.05
"CQR_exact_quantBoosting",1,3.79770751163332,0.05
"CQR_naive_quantBoosting",0.9996,4.31303108780037,0.05
"CQR_inexact_quantBART",0.848,1.51985758557993,0.05
"CQR_exact_quantBART",1,4.39162150916741,0.05
"CQR_naive_quantBART",0.9994,3.70935200707757,0.05
"CF",0.1546,0.20053865766126,0.05
"xlearner",0.2536,0.335037633640517,0.05
"bart_naive",0.9976,3.34673451311536,0.05
"bart_inexact",0.863,1.56875630332185,0.05
"CQR_inexact_quantRF",0.9704,2.42454818521313,0.05
"CQR_exact_quantRF",1,4.33122089583373,0.05
"CQR_naive_quantRF",1,4.68594648888906,0.05
"CQR_inexact_quantBoosting",0.9674,2.38278760595127,0.05
"CQR_exact_quantBoosting",1,4.15737307003345,0.05
"CQR_naive_quantBoosting",0.9998,4.38774409424192,0.05
"CQR_inexact_quantBART",0.9104,1.79196229829031,0.05
"CQR_exact_quantBART",1,3.97493442871046,0.05
"CQR_naive_quantBART",0.9984,3.58676193543311,0.05
"CF",0.1718,0.223022487232395,0.05
"xlearner",0.2694,0.355178894686634,0.05
"bart_naive",0.9972,3.32857654507758,0.05
"bart_inexact",0.8572,1.50748437730106,0.05
"CQR_inexact_quantRF",0.9728,2.39842798090486,0.05
"CQR_exact_quantRF",0.9998,4.66488787339839,0.05
"CQR_naive_quantRF",0.9998,4.30112659733442,0.05
"CQR_inexact_quantBoosting",0.9744,2.4363519242503,0.05
"CQR_exact_quantBoosting",0.9998,4.34781781285358,0.05
"CQR_naive_quantBoosting",1,5.09030420964616,0.05
"CQR_inexact_quantBART",0.952,2.10059386222993,0.05
"CQR_exact_quantBART",0.9996,3.65821089749248,0.05
"CQR_naive_quantBART",0.9992,3.75112227252594,0.05
"CF",0.1394,0.184921288899489,0.05
"xlearner",0.2338,0.314291512267371,0.05
"bart_naive",0.9978,3.3895616361838,0.05
"bart_inexact",0.8828,1.64512963300784,0.05
"CQR_inexact_quantRF",0.9458,2.06910381382384,0.05
"CQR_exact_quantRF",0.9994,4.01691600526077,0.05
"CQR_naive_quantRF",0.9998,4.26009034595494,0.05
"CQR_inexact_quantBoosting",0.986,2.63412662134683,0.05
"CQR_exact_quantBoosting",0.9986,3.64489708244852,0.05
"CQR_naive_quantBoosting",0.9992,3.88818759830129,0.05
"CQR_inexact_quantBART",0.9302,1.89000133162221,0.05
"CQR_exact_quantBART",0.9992,3.8995950928581,0.05
"CQR_naive_quantBART",0.9986,3.68240782735837,0.05
"CF",0.175,0.223082916656789,0.05
"xlearner",0.2574,0.334521771695056,0.05
"bart_naive",0.9982,3.22924447688031,0.05
"bart_inexact",0.8478,1.48123855141902,0.05
"CQR_inexact_quantRF",0.9702,2.35282032900263,0.05
"CQR_exact_quantRF",1,3.93630030090473,0.05
"CQR_naive_quantRF",1,4.42508928678516,0.05
"CQR_inexact_quantBoosting",0.9532,2.12379081321516,0.05
"CQR_exact_quantBoosting",1,4.29339978321432,0.05
"CQR_naive_quantBoosting",1,4.06491291560532,0.05
"CQR_inexact_quantBART",0.9616,2.20242986170719,0.05
"CQR_exact_quantBART",1,3.95759133293226,0.05
"CQR_naive_quantBART",1,3.93352480971631,0.05
"CF",0.1662,0.212370077545646,0.05
"xlearner",0.2598,0.339867158673188,0.05
"bart_naive",0.9976,3.1520015396366,0.05
"bart_inexact",0.8584,1.51872112233517,0.05
"CQR_inexact_quantRF",0.9734,2.37231620438151,0.05
"CQR_exact_quantRF",1,5.24647351107316,0.05
"CQR_naive_quantRF",1,4.2263882448733,0.05
"CQR_inexact_quantBoosting",0.9532,2.11644045763429,0.05
"CQR_exact_quantBoosting",1,4.38575287921759,0.05
"CQR_naive_quantBoosting",0.999,3.67498818608042,0.05
"CQR_inexact_quantBART",0.9296,1.88990336207505,0.05
"CQR_exact_quantBART",1,3.66775418384283,0.05
"CQR_naive_quantBART",0.9986,3.3878108070675,0.05
"CF",0.1794,0.223914141523532,0.05
"xlearner",0.2534,0.334083549254172,0.05
"bart_naive",0.9976,3.36149030618595,0.05
"bart_inexact",0.8718,1.60561664992177,0.05
"CQR_inexact_quantRF",0.989,2.85094753565363,0.05
