method,cr_py,len_py,alpha_py,cr_r,len_r,alpha_r,cr_diff,len_diff
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.32958153351641,0.05,-0.1352056394957175,-1.4731775348713088
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.26614402297225,0.05,-0.1354056394957175,-1.4097400243271485
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.97238219012262,0.05,-0.1352056394957175,-1.1159781914775189
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.19783157062152,0.05,-0.1354056394957175,-1.3414275719764186
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,3.79770751163332,0.05,-0.1354056394957175,-0.941303512988219
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.15737307003345,0.05,-0.1354056394957175,-1.3009690713883488
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.34781781285358,0.05,-0.1352056394957175,-1.491413814208479
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9986,3.64489708244852,0.05,-0.13400563949571753,-0.7884930838034188
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.29339978321432,0.05,-0.1354056394957175,-1.436995784569219
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.38575287921759,0.05,-0.1354056394957175,-1.5293488805724893
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.19317582037401,0.05,-0.1354056394957175,-1.3367718217289086
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,4.22961274227998,0.05,-0.13500563949571753,-1.373208743634879
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9988,3.85917111228305,0.05,-0.1342056394957175,-1.0027671136379488
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.83320234712111,0.05,-0.1354056394957175,-1.9767983484760085
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.44533175229486,0.05,-0.1354056394957175,-1.5889277536497586
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9988,3.71520908878096,0.05,-0.1342056394957175,-0.858805090135859
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,5.84938396962094,0.05,-0.1354056394957175,-2.9929799709758393
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.54424218987303,0.05,-0.1354056394957175,-1.6878381912279288
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.63633889002582,0.05,-0.1354056394957175,-1.7799348913807185
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.27620549860805,0.05,-0.1352056394957175,-1.419801499962949
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.48408682718778,0.05,-0.1354056394957175,-1.627682828542679
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.1710412170717,0.05,-0.1354056394957175,-1.3146372184265989
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.20230051269386,0.05,-0.1352056394957175,-1.3458965140487589
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.61542737084198,0.05,-0.1354056394957175,-1.7590233721968787
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,3.91839984429519,0.05,-0.13500563949571753,-1.061995845650089
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,3.92176929162663,0.05,-0.13500563949571753,-1.0653652929815287
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.51671960294923,0.05,-0.1354056394957175,-1.6603156043041292
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.79568580506609,0.05,-0.1354056394957175,-1.939281806420989
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.62075023417978,0.05,-0.1354056394957175,-1.7643462355346786
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.47336972471794,0.05,-0.1354056394957175,-1.6169657260728387
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.49873871681006,0.05,-0.1354056394957175,-1.6423347181649586
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.22549421957042,0.05,-0.1352056394957175,-1.3690902209253188
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,5.16035878390891,0.05,-0.1354056394957175,-2.3039547852638087
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.70395383267806,0.05,-0.1354056394957175,-1.847549834032959
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9992,3.52263219361463,0.05,-0.13460563949571747,-0.6662281949695288
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.08414681499184,0.05,-0.1352056394957175,-1.2277428163467388
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9994,4.08152544122239,0.05,-0.13480563949571744,-1.2251214425772892
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.77864146550976,0.05,-0.1352056394957175,-1.922237466864659
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.70647616461037,0.05,-0.1352056394957175,-0.850072165965269
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.73147347433678,0.05,-0.1354056394957175,-1.8750694756916788
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.15719536914568,0.05,-0.1352056394957175,-1.300791370500579
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.58049981814835,0.05,-0.1354056394957175,-1.7240958195032485
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.19582943320684,0.05,-0.1354056394957175,-1.339425434561739
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.2337104378922,0.05,-0.1352056394957175,-1.377306439247099
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.88657602383738,0.05,-0.1352056394957175,-1.0301720251922788
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.57546912748817,0.05,-0.1354056394957175,-1.7190651288430692
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.26581374505043,0.05,-0.1352056394957175,-1.4094097464053288
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.68039273489893,0.05,-0.1354056394957175,-1.8239887362538285
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,5.46306259408168,0.05,-0.1354056394957175,-2.6066585954365786
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.17869153432337,0.05,-0.1354056394957175,-1.322287535678269
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9994,3.77801713254516,0.05,-0.13480563949571744,-0.9216131339000588
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.22038758376322,0.05,-0.1352056394957175,-1.3639835851181186
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.64967170583259,0.05,-0.1354056394957175,-1.7932677071874892
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.9535014053371,0.05,-0.1352056394957175,-1.097097406691999
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.42343118009029,0.05,-0.1352056394957175,-1.567027181445189
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.74312693546068,0.05,-0.1352056394957175,-0.8867229368155791
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,3.98014803627775,0.05,-0.1352056394957175,-1.1237440376326489
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.14022917977659,0.05,-0.1352056394957175,-1.2838251811314887
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.17333000739543,0.05,-0.1354056394957175,-1.316926008750329
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.78808756711114,0.05,-0.1354056394957175,-1.9316835684660392
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.24023824174813,0.05,-0.1354056394957175,-1.3838342431030286
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.43700802721323,0.05,-0.1354056394957175,-1.5806040285681293
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,4.44329445895551,0.05,-0.13500563949571753,-1.5868904603104088
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,4.22311496287449,0.05,-0.13500563949571753,-1.366710964229389
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.32465443557305,0.05,-0.1354056394957175,-1.4682504369279492
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.30786402437347,0.05,-0.1352056394957175,-1.4514600257283687
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9994,4.18572760664092,0.05,-0.13480563949571744,-1.3293236079958186
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9996,4.26104468863519,0.05,-0.13500563949571753,-1.4046406899900887
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.64119194234689,0.05,-0.1354056394957175,-1.7847879437017893
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.43413168195083,0.05,-0.1354056394957175,-1.5777276833057288
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9998,4.03130172041669,0.05,-0.1352056394957175,-1.1748977217715888
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.70152804506212,0.05,-0.1354056394957175,-1.8451240464170189
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.52796826094161,0.05,-0.1354056394957175,-1.671564262296509
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.22303122605153,0.05,-0.1354056394957175,-1.366627227406429
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.86962327202532,0.05,-0.1354056394957175,-2.013219273380219
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9988,3.67176112618504,0.05,-0.1342056394957175,-0.8153571275399387
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.20095054219558,0.05,-0.1354056394957175,-1.3445465435504786
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.18909589479042,0.05,-0.1354056394957175,-1.3326918961453194
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.45923124587719,0.05,-0.1354056394957175,-1.6028272472320886
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.60383546687015,0.05,-0.1354056394957175,-1.7474314682250487
cqr_exact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.32302068989954,0.05,-0.1354056394957175,-1.4666166912544387
